UMAP_1;UMAP_2;Ident
-11,29028129;6,58502564;Sporozoite
-11,49165057;6,399909826;Sporozoite
-11,24187278;6,463981004;Sporozoite
-11,97365378;6,110037656;Sporozoite
-11,19660472;6,075140329;Sporozoite
-11,56350898;6,667989584;Sporozoite
-12,39647674;4,646117778;Sporozoite
-11,81755256;5,238332601;Sporozoite
-11,32092761;6,811228605;Sporozoite
-11,77565478;5,022862287;Sporozoite
-11,93127536;6,238967748;Sporozoite
-12,37167834;5,148291917;Sporozoite
-11,49385737;5,490563245;Sporozoite
-11,53542994;6,570446344;Sporozoite
-11,42873763;6,696352335;Sporozoite
-11,72004794;5,691836687;Sporozoite
-11,39284324;5,871312948;Sporozoite
-11,50066661;5,921307893;Sporozoite
-11,62148761;5,407187791;Sporozoite
-11,47749137;6,234970899;Sporozoite
-11,98556613;6,21507916;Sporozoite
-12,12257956;3,803524824;Sporozoite
-11,82364272;5,333839269;Sporozoite
-11,75157546;5,47030005;Sporozoite
-11,6219387;5,65813336;Sporozoite
-11,69425582;6,236760469;Sporozoite
-11,6432743;5,96803269;Sporozoite
-12,19819068;3,893257709;Sporozoite
-11,97668361;3,469153257;Sporozoite
-11,84604453;5,404270502;Sporozoite
-11,62982844;5,804118486;Sporozoite
-11,25177192;6,863622995;Sporozoite
-11,65783977;5,651016565;Sporozoite
-12,4711666;3,560310455;Sporozoite
-11,81133842;5,08418593;Sporozoite
-11,44459437;6,880581709;Sporozoite
-11,87717055;5,401318403;Sporozoite
